index,SEP_onset_time,ln_peak_intensity,peak_intensity,target,CME_DONKI_time,CME_DONKI_latitude,CME_DONKI_longitude,CME_DONKI_speed,CME_CDAW_time,CME_CDAW_MPA,CME_CDAW_LinearSpeed,VlogV,DONKI_half_width,Accelaration,2nd_order_speed_final,2nd_order_speed_20R,CPA,Halo,daily_sunspots,Type2_Viz_Area,solar_wind_speed,CMEs_in_past_month,CMEs_in_past_9hours,CMEs_with_speed_over_1000_in_past_9hours,max_CME_speed_in_past_day,diffusive_shock,connection_angle_degrees,half_richardson_value
85,6/4/2011 23:44,1.607656326,4.9911,0,6/4/2011 22:09,16,140,2500,6/4/2011 22:05,300,2425,18899.448,60,-140.2,1960,2281,360,1,115,49362750,504.3,11,1,1,2500,2.60E-09,94.37620425,-2.408563529
86,,-1.609437912,0.2,0,6/5/2011 6:24,35,-54,760,6/5/2011 6:26,293,578,3675.833696,50,-3.4,545,544,292,0,80,0,518.5,12,2,1,2500,8.77E-16,-96.71144542,-2.529233011
87,,-1.609437912,0.2,0,6/6/2011 8:54,-45,101,750,6/6/2011 7:30,231,582,3705.285801,35,18.6,827,741,241,0,70,0,446.8,12,1,0,750,2.47E-16,62.7863502,-1.066015622
88,6/7/2011 6:54,4.342011606,76.862,1,6/7/2011 6:50,-25,52,1400,6/7/2011 6:49,250,1255,8954.288019,46,0.3,1258,1256,360,1,58,10631250,397.7,13,1,1,1400,1.10E-09,-25.5860325,-0.177026787
89,,-1.609437912,0.2,0,6/8/2011 18:00,34,144,320,6/8/2011 20:24,6,467,2870.335763,40,-24.6,424,0,6,0,45,0,495.5,14,1,0,320,1.97E-35,96.41540957,-2.513772635
90,,-1.609437912,0.2,0,6/13/2011 4:40,-15,-160,830,6/13/2011 4:24,108,957,6568.659846,43,-41.7,699,766,360,1,15,0,446.3,13,1,0,830,2.70E-13,145.5760283,-5.730767984
91,,-1.609437912,0.2,0,6/14/2011 8:10,5,-45,830,6/14/2011 6:12,68,571,3624.359239,43,14.6,805,698,64,0,36,0,533.2,14,1,0,830,2.70E-13,-87.99146868,-2.093698908
92,,-1.609437912,0.2,0,6/19/2011 16:48,-16,-50,583,6/19/2011 16:48,119,509,3172.31604,24,-0.9,495,504,120,0,47,0,393.5,13,1,0,583,1.14E-30,-107.5137415,-3.125798978
93,,-1.609437912,0.2,0,6/20/2011 18:00,10,-145,560,6/20/2011 17:48,80,329,1906.903,30,-1,311,310,69,0,39,0,394.3,14,1,0,560,5.48E-31,154.9142166,-6.48956585
94,,-1.609437912,0.2,0,6/21/2011 3:09,5,-7,1000,6/21/2011 3:16,65,719,4729.482316,40,-1.3,708,708,360,1,50,42000,390.5,15,1,0,1000,5.39E-11,-65.78976008,-1.170441463
95,,-1.609437912,0.2,0,6/23/2011 12:39,2,-40,350,6/23/2011 13:25,336,347,2029.715699,35,2.5,354,415,341,0,58,0,588.2,16,1,0,350,1.02E-34,-78.97137422,-1.686446173
96,,-1.609437912,0.2,0,6/29/2011 1:25,-20,60,490,6/29/2011 0:48,276,481,2970.592157,25,-5.4,409,420,267,0,41,0,367.2,14,1,0,490,4.83E-32,-20.13940225,-0.109679698
97,,-1.609437912,0.2,0,7/9/2011 0:54,-25,-30,850,7/9/2011 0:48,140,630,4060.803486,33,11.7,727,747,98,0,49,0,346.7,8,1,0,850,7.54E-13,-95.53205949,-2.467921685
98,,-1.609437912,0.2,0,7/9/2011 17:42,20,112,838,7/9/2011 16:36,303,991,6836.626104,24,5.3,1028,1018,272,0,49,0,429.7,9,1,0,850,4.16E-13,60.7442827,-0.997800941
99,,-1.609437912,0.2,0,7/21/2011 23:18,-20,-131,608,7/21/2011 23:24,329,313,1798.561599,26,30.3,387,854,324,0,60,0,646.2,5,1,0,608,2.44E-30,-156.0081675,-6.581543629
100,,-1.609437912,0.2,0,7/23/2011 12:48,-4,-122,640,7/23/2011 12:36,85,591,3771.653266,28,2.7,617,619,89,0,43,0,560,5,1,0,640,6.20E-30,-162.4779961,-7.138750465
101,,-1.609437912,0.2,0,7/24/2011 17:39,45,50,320,7/24/2011 17:12,332,317,1825.571862,32,0.1,319,318,310,0,43,0,431.2,6,1,0,320,1.97E-35,-45.08658944,-0.54970269
102,,-1.609437912,0.2,0,7/25/2011 20:18,-8,170,660,7/25/2011 18:12,188,347,2029.715699,43,7,394,510,360,1,29,0,556.3,7,1,0,660,1.08E-29,128.3541401,-4.455052809
103,,-1.609437912,0.2,0,7/27/2011 6:24,32,-33,616,7/27/2011 6:24,43,680,4435.023103,39,8,761,746,63,0,63,0,421.3,8,1,0,616,3.10E-30,-87.79576764,-2.08439611
104,,-1.609437912,0.2,0,7/28/2011 17:54,-29,150,440,7/28/2011 18:00,226,307,1758.142259,34,6.3,483,419,201,0,96,0,323.5,9,1,0,440,6.78E-33,80.52658516,-1.753523774
105,8/2/2011 7:09,0.973729107,2.6478,0,8/2/2011 6:40,4,15,900,8/2/2011 6:36,285,712,4676.471473,35,-15.5,554,596,288,0,95,975000,473,9,1,0,900,5.24E-12,-33.66510362,-0.306473554
106,,-1.609437912,0.2,0,8/3/2011 13:55,15,30,1320,8/3/2011 14:00,307,610,3912.209964,44,-12.2,492,480,360,1,81,0,351,10,1,1,1320,8.31E-10,-37.96696396,-0.389802691
107,8/4/2011 3:45,4.543124555,93.984,1,8/4/2011 4:10,14,40,1950,8/4/2011 4:12,298,1315,9443.793407,60,-41.1,1074,1208,360,1,92,28532700,344.7,11,1,1,1950,2.35E-09,-29.72332974,-0.238906525
108,,-1.609437912,0.2,0,8/6/2011 13:00,-15,60,430,8/6/2011 10:24,249,338,1968.189513,32,3.8,418,403,249,0,79,0,504.7,12,1,0,430,4.45E-33,20.80700825,-0.117071821
109,8/8/2011 18:35,1.687324451,5.405,0,8/8/2011 18:00,0,60,850,8/8/2011 18:12,281,1343,9673.173987,20,-42.3,1090,1207,305,0,70,672000,600.3,11,1,0,850,7.54E-13,21.82082532,-0.128758361
110,8/9/2011 8:10,3.476706752,32.353,1,8/9/2011 8:30,-12,62,1175,8/9/2011 8:12,279,1610,11888.22303,20,-40.6,1419,1506,360,1,61,180000,611.2,12,1,1,1175,3.79E-10,27.11866325,-0.198870172
111,,-1.609437912,0.2,0,8/11/2011 11:06,-3,77,600,8/11/2011 10:36,267,1160,8185.16333,40,-14.3,1065,1109,273,0,38,0,413.2,13,1,0,600,1.92E-30,21.73114933,-0.127702231
112,,-1.609437912,0.2,0,8/12/2011 10:00,39,-30,410,8/12/2011 12:48,304,532,3339.174336,35,-8.1,444,439,297,0,29,0,400.8,14,1,0,600,1.86E-33,-87.81115289,-2.08512671
113,,-1.609437912,0.2,0,8/13/2011 9:00,-15,168,300,8/13/2011 9:12,122,171,879.2244682,18,-2.1,159,0,118,0,18,0,343.5,15,1,0,410,5.98E-36,100.8890667,-2.75246181
114,,-1.609437912,0.2,0,8/13/2011 10:36,22,141,800,8/13/2011 10:36,306,617,3964.144188,30,-20.6,439,384,310,0,18,0,339.8,16,2,0,800,3.85E-14,74.7795643,-1.512164207
115,,-1.609437912,0.2,0,8/16/2011 8:54,24,143,992,8/16/2011 9:12,341,492,3049.651529,30,-11,379,332,328,0,31,0,477.2,17,1,0,992,4.70E-11,94.54120842,-2.416992993
116,,-1.609437912,0.2,0,8/17/2011 3:24,-25,-56,595,8/17/2011 2:48,110,550,3470.455053,25,-4.2,490,520,114,0,51,0,431.7,18,1,0,992,1.65E-30,-107.2421571,-3.110027114
