CME_DONKI_speed_norm,CME_DONKI_latitude_norm,CME_DONKI_longitude_norm,CME_CDAW_MPA_norm,CME_CDAW_LinearSpeed_norm,DONKI_half_width_norm,Halo,ln_peak_intensity
0.276277372,0.724719101,0.208333333,0.147222222,0.23175008,0.471264368,1,0
0.188686131,0.376404494,0.202777778,0.333333333,0.165763468,0.252873563,0,0
0.126642336,0.735955056,0.263888889,0.138888889,0.31495059,0.379310345,1,0
0.154379562,0.382022472,0.263888889,0.322222222,0.104558495,0.310344828,0,0
0.182481752,0.578651685,0.125,0.197222222,0.211029646,0.689655172,1,0
0.226277372,0.404494382,0.236111111,0.297222222,0.191903092,0.183908046,0,0
0.24270073,0.730337079,0.319444444,0.113888889,0.219636595,0.344827586,1,0
0.188321168,0.43258427,0.572222222,0.758333333,0.144405483,0.275862069,0,0
0.222627737,0.668539326,0.255555556,0.183333333,0.202422697,0.402298851,0,0
0.156934307,0.382022472,0.236111111,0.302777778,0.164169589,0.137931034,0,0
0.198175182,0.325842697,0.513888889,0.45,0.17883328,0.275862069,1,0
0.380656934,0.47752809,0.405555556,0.252777778,0.268728084,0.137931034,0,0
0.219708029,0.275280899,0.308333333,0.355555556,0.345553076,0.08045977,0,0
0.142335766,0.41011236,0.805555556,0.675,0.151418553,0.32183908,0,0
0.081386861,0.533707865,0.077777778,0.227777778,0.040803315,0.390804598,0,0
0.182481752,0.674157303,0.897222222,0.908333333,0.041440867,0.149425287,0,0
0.151824818,0.724719101,0.755555556,0.852777778,0.141855276,0.436781609,0,0
0.113138686,0.494382022,0.813888889,0.783333333,0.195409627,0.08045977,0,0
0.065693431,0.786516854,0.430555556,0.05,0.041122091,0.252873563,0,0
0.149635036,0.561797753,0.275,0.188888889,0.124641377,0.390804598,0,0
0.224452555,0.376404494,0.847222222,0.722222222,0.230793752,0.218390805,0,0
0.197080292,0.387640449,0.536111111,0.569444444,0.152056105,0.103448276,0,0
0.075182482,0.780898876,0.325,0.105555556,0.087982149,0.126436782,0,0
0.202554745,0.735955056,0.461111111,0.022222222,0.18744023,0.379310345,0,0
0.197080292,0.376404494,0.186111111,0.291666667,0.300605674,0.195402299,0,0
0.138686131,0.398876404,0.347222222,0.330555556,0.104877271,0.229885057,0,0
0.458029197,0.303370787,0.225,0.35,0.327701626,0.114942529,0,0
0.164233577,0.769662921,0.233333333,0.136111111,0.129741792,0.16091954,0,0
0.122262774,0.97752809,0.233333333,0.122222222,0.086707045,0.252873563,0,0
0.076642336,0.646067416,0.25,0.158333333,0.074912337,0.218390805,0,0
0.219708029,0.668539326,0.358333333,0.063888889,0.134204654,0.609195402,0,0
0.348540146,0.460674157,0.822222222,0.744444444,0.287535862,0.563218391,0,0
0.051459854,0.747191011,0.483333333,0.933333333,0.081925406,0.172413793,0,0
0.204379562,0.769662921,0.5,0.991666667,0.214854957,0.436781609,0,0
0.142335766,0.691011236,0.152777778,0.1,0.079056423,0.402298851,0,0
0.04379562,0.241573034,0.972222222,0.683333333,0.071087026,0.402298851,0,0
0.130656934,0.292134831,0.205555556,0.355555556,0.073637233,0.298850575,0,0
0.076642336,0.646067416,0.433333333,0.141666667,0.030921262,0.137931034,0,0
0.083941606,0.780898876,0.75,0.930555556,0.10806503,0.057471264,0,0
0.270072993,0.505617978,0.130555556,0.166666667,0.182658591,0.413793103,0,0
0.144890511,0.601123596,0.580555556,0.833333333,0.096270322,0.287356322,0,0
0.087591241,0.550561798,0.583333333,0.805555556,0.069811922,0.114942529,0,0
0.160583942,0.561797753,0.705555556,0.75,0.168632451,0.632183908,1,0
0.270072993,0.561797753,0.713888889,0.769444444,0.218361492,0.344827586,0,0
0.140145985,0.550561798,0.580555556,0.997222222,0.182977367,0.517241379,1,0
0.074452555,0.651685393,0.094444444,0.130555556,0.091807459,0.287356322,0,0
0.087226277,0.252808989,0.863888889,0.680555556,0.240675805,0.08045977,0,0
0.233576642,0.325842697,0.333333333,0.35,0.195090851,0.183908046,0,0
0.101459854,0.674157303,0.725,0.827777778,0.065030284,0.114942529,0,0
0.186131387,0.820224719,0.594444444,0.977777778,0.176920625,0.333333333,0,0
0.251824818,0.348314607,0.375,0.319444444,0.255658272,0.195402299,0,0
0.237226277,0.685393258,0.111111111,0.105555556,0.196047179,0.298850575,1,0
0.059124088,0.747191011,0.047222222,0.019444444,0.034109021,0.367816092,0,0
0.134306569,0.58988764,0.875,0.75,0.092445011,0.528735632,0,0
